celltype,ps_bin_idx,subtype
alpha,1,alpha_1
alpha,2,alpha_1
alpha,3,alpha_1
alpha,4,alpha_1
alpha,5,alpha_1
alpha,6,alpha_1
alpha,7,alpha_1
alpha,8,alpha_1
alpha,9,alpha_1
alpha,10,alpha_1
alpha,11,alpha_1
alpha,12,alpha_1
alpha,13,alpha_1
alpha,14,alpha_1
alpha,15,alpha_1
alpha,16,alpha_1
alpha,17,alpha_1
alpha,18,alpha_1
alpha,19,alpha_1
alpha,20,alpha_1
alpha,21,alpha_1
alpha,22,alpha_1
alpha,23,alpha_1
alpha,24,alpha_1
alpha,25,alpha_1
alpha,26,alpha_1
alpha,27,alpha_1
alpha,28,alpha_1
alpha,29,alpha_1
alpha,30,alpha_1
alpha,31,alpha_1
alpha,32,alpha_1
alpha,33,alpha_1
alpha,34,alpha_1
alpha,35,alpha_1
alpha,36,alpha_1
alpha,37,alpha_1
alpha,38,alpha_1
alpha,39,alpha_1
alpha,40,alpha_1
alpha,41,alpha_1
alpha,42,alpha_1
alpha,43,alpha_1
alpha,44,alpha_1
alpha,46,alpha_1
alpha,47,alpha_1
alpha,48,alpha_1
alpha,49,alpha_1
alpha,50,alpha_1
alpha,51,alpha_1
alpha,52,alpha_1
alpha,54,alpha_1
alpha,55,alpha_1
alpha,56,alpha_1
alpha,57,alpha_1
alpha,58,alpha_1
alpha,59,alpha_1
alpha,60,alpha_1
alpha,61,alpha_2
alpha,62,alpha_2
alpha,63,alpha_1
alpha,64,alpha_2
alpha,66,alpha_2
alpha,67,alpha_2
alpha,68,alpha_2
alpha,69,alpha_2
alpha,70,alpha_2
alpha,71,alpha_2
alpha,72,alpha_2
alpha,73,alpha_2
alpha,74,alpha_2
alpha,75,alpha_2
alpha,76,alpha_2
alpha,77,alpha_2
alpha,78,alpha_2
alpha,79,alpha_2
alpha,80,alpha_2
alpha,82,alpha_2
alpha,83,alpha_2
alpha,84,alpha_2
alpha,85,alpha_2
alpha,86,alpha_2
alpha,87,alpha_2
alpha,88,alpha_2
alpha,89,alpha_2
alpha,90,alpha_2
alpha,91,alpha_2
alpha,92,alpha_2
alpha,93,alpha_2
alpha,94,alpha_2
alpha,96,alpha_2
alpha,97,alpha_2
alpha,98,alpha_2
alpha,99,alpha_2
alpha,100,alpha_2
beta,1,beta_1
beta,2,beta_1
beta,3,beta_1
beta,4,beta_1
beta,5,beta_1
beta,6,beta_1
beta,7,beta_1
beta,8,beta_1
beta,9,beta_1
beta,10,beta_1
beta,11,beta_1
beta,12,beta_1
beta,13,beta_1
beta,14,beta_1
beta,15,beta_1
beta,16,beta_1
beta,17,beta_1
beta,18,beta_1
beta,19,beta_1
beta,20,beta_1
beta,21,beta_1
beta,22,beta_1
beta,23,beta_1
beta,24,beta_1
beta,25,beta_1
beta,26,beta_1
beta,27,beta_1
beta,28,beta_1
beta,29,beta_1
beta,30,beta_1
beta,31,beta_1
beta,32,beta_1
beta,34,beta_1
beta,35,beta_1
beta,36,beta_1
beta,37,beta_1
beta,38,beta_1
beta,40,beta_1
beta,41,beta_1
beta,42,beta_1
beta,43,beta_1
beta,44,beta_1
beta,45,beta_1
beta,46,beta_1
beta,47,beta_1
beta,48,beta_1
beta,49,beta_1
beta,50,beta_1
beta,51,beta_1
beta,52,beta_1
beta,53,beta_1
beta,54,beta_1
beta,55,beta_2
beta,56,beta_2
beta,57,beta_2
beta,58,beta_2
beta,59,beta_2
beta,60,beta_2
beta,61,beta_2
beta,62,beta_2
beta,64,beta_2
beta,65,beta_2
beta,66,beta_2
beta,67,beta_2
beta,68,beta_2
beta,69,beta_2
beta,70,beta_2
beta,71,beta_2
beta,76,beta_2
beta,77,beta_2
beta,78,beta_2
beta,81,beta_2
beta,82,beta_2
beta,83,beta_2
beta,84,beta_2
beta,87,beta_2
beta,88,beta_2
beta,89,beta_2
beta,90,beta_2
beta,92,beta_2
beta,93,beta_2
beta,94,beta_2
beta,95,beta_2
beta,96,beta_2
beta,97,beta_2
beta,98,beta_2
beta,99,beta_2
beta,100,beta_2
delta,1,delta_1
delta,2,delta_1
delta,3,delta_1
delta,4,delta_1
delta,5,delta_1
delta,9,delta_1
delta,10,delta_1
delta,13,delta_1
delta,14,delta_1
delta,17,delta_1
delta,18,delta_1
delta,19,delta_1
delta,20,delta_1
delta,21,delta_1
delta,22,delta_1
delta,26,delta_1
delta,27,delta_1
delta,28,delta_1
delta,29,delta_1
delta,30,delta_1
delta,32,delta_1
delta,33,delta_1
delta,34,delta_1
delta,35,delta_1
delta,36,delta_1
delta,38,delta_1
delta,39,delta_1
delta,40,delta_1
delta,41,delta_1
delta,42,delta_1
delta,43,delta_1
delta,44,delta_1
delta,45,delta_1
delta,46,delta_1
delta,49,delta_1
delta,52,delta_1
delta,53,delta_1
delta,54,delta_1
delta,55,delta_1
delta,56,delta_1
delta,57,delta_1
delta,58,delta_2
delta,59,delta_1
delta,60,delta_1
delta,61,delta_1
delta,62,delta_2
delta,67,delta_2
delta,68,delta_1
delta,69,delta_1
delta,71,delta_2
delta,72,delta_1
delta,73,delta_2
delta,74,delta_2
delta,75,delta_2
delta,76,delta_2
delta,77,delta_2
delta,82,delta_2
delta,83,delta_2
delta,84,delta_2
delta,85,delta_2
delta,86,delta_2
delta,87,delta_2
delta,88,delta_2
delta,91,delta_2
delta,92,delta_2
delta,93,delta_2
delta,94,delta_2
delta,95,delta_2
delta,96,delta_2
delta,97,delta_2
delta,98,delta_2
delta,99,delta_2
delta,100,delta_2
