gene,cor.spearman,celltype,motif
FOS,0.569144914491449,alpha,FOS::JUND
FOSB,0.692781278127813,alpha,FOS::JUND
FOSL1,0.810645064506451,alpha,FOS::JUND
FOSL2,0.538997899789979,alpha,FOS::JUND
JUN,0.515367536753676,alpha,FOS::JUND
JUNB,0.729036903690369,alpha,FOS::JUND
JUND,0.493717371737174,alpha,FOS::JUND
FOS,-0.196135613561356,beta,FOS::JUND
FOSB,-0.0971737173717372,beta,FOS::JUND
FOSL1,0.433651365136514,beta,FOS::JUND
FOSL2,0.711587158715872,beta,FOS::JUND
JUN,0.641392139213922,beta,FOS::JUND
JUNB,0.232775277527753,beta,FOS::JUND
JUND,0.549306930693069,beta,FOS::JUND
FOS,0.671911191119112,delta,FOS::JUND
FOSB,0.745634563456346,delta,FOS::JUND
FOSL1,0.736549654965497,delta,FOS::JUND
FOSL2,0.709282928292829,delta,FOS::JUND
JUN,0.771617161716172,delta,FOS::JUND
JUNB,0.20970897089709,delta,FOS::JUND
JUND,0.656153615361536,delta,FOS::JUND
RFX1,-0.360996099609961,alpha,Rfx1
RFX2,-0.363408340834083,alpha,Rfx1
RFX3,-0.317155715571557,alpha,Rfx1
RFX4,-0.421530153015302,alpha,Rfx1
RFX5,-0.63002700270027,alpha,Rfx1
RFX6,0.394251425142514,alpha,Rfx1
RFX7,-0.495661566156616,alpha,Rfx1
RFX8,0.0361596159615962,alpha,Rfx1
RFX1,-0.440948094809481,beta,Rfx1
RFX2,-0.404392439243924,beta,Rfx1
RFX3,-0.413813381338134,beta,Rfx1
RFX4,0.824290429042904,beta,Rfx1
RFX5,-0.0169096909690969,beta,Rfx1
RFX6,0.120612061206121,beta,Rfx1
RFX7,-0.293645364536454,beta,Rfx1
RFX8,0.35972397239724,beta,Rfx1
RFX1,-0.283408340834083,delta,Rfx1
RFX2,-0.52019201920192,delta,Rfx1
RFX3,-0.767308730873087,delta,Rfx1
RFX4,0.307710771077108,delta,Rfx1
RFX5,-0.781506150615062,delta,Rfx1
RFX6,-0.12043204320432,delta,Rfx1
RFX7,-0.934605460546055,delta,Rfx1
RFX8,-0.847836783678368,delta,Rfx1
ATOH1,-0.856369636963697,alpha,NEUROD1
ATOH7,-0.312751275127513,alpha,NEUROD1
ATOH8,-0.655997599759976,alpha,NEUROD1
BHLHA15,-0.466810681068107,alpha,NEUROD1
BHLHE22,0.257341734173417,alpha,NEUROD1
FERD3L,-0.825622562256226,alpha,NEUROD1
NEUROD1,0.616801680168017,alpha,NEUROD1
NEUROD4,-0.738181818181818,alpha,NEUROD1
NEUROG1,-0.618421842184218,alpha,NEUROD1
NEUROG2,-0.121152115211521,alpha,NEUROD1
NEUROG3,-0.641824182418242,alpha,NEUROD1
OLIG1,-0.718799879987999,alpha,NEUROD1
OLIG3,-0.536705670567057,alpha,NEUROD1
ATOH1,-0.772913291329133,beta,NEUROD1
ATOH7,0.106306630663066,beta,NEUROD1
ATOH8,0.366636663666367,beta,NEUROD1
BHLHA15,-0.158439843984398,beta,NEUROD1
BHLHE22,0.694941494149415,beta,NEUROD1
FERD3L,0.598571857185719,beta,NEUROD1
NEUROD1,0.851809180918092,beta,NEUROD1
NEUROD4,-0.00687668766876688,beta,NEUROD1
NEUROG1,0.152151215121512,beta,NEUROD1
NEUROG2,-0.213129312931293,beta,NEUROD1
NEUROG3,-0.473075307530753,beta,NEUROD1
OLIG1,0.411785178517852,beta,NEUROD1
OLIG3,0.257041704170417,beta,NEUROD1
ATOH1,0.753483348334834,delta,NEUROD1
ATOH7,-0.80044404440444,delta,NEUROD1
ATOH8,-0.224074407440744,delta,NEUROD1
BHLHA15,-0.346474647464747,delta,NEUROD1
BHLHE22,-0.938565856585659,delta,NEUROD1
FERD3L,-0.795619561956196,delta,NEUROD1
NEUROD1,-0.660570057005701,delta,NEUROD1
NEUROD4,0.436603660366037,delta,NEUROD1
NEUROG1,-0.266690669066907,delta,NEUROD1
NEUROG2,-0.297989798979898,delta,NEUROD1
OLIG1,-0.217689768976898,delta,NEUROD1
OLIG3,0.181770177017702,delta,NEUROD1
